id,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2520,20537.50391,89.316,04N2K1,2016/2/5 12:00,QPSK,93.866,140000,·ñ,·ñ,,TPCÂë,NA,IBS,NA
2521,20575.40137,255.539,04N2K1,2016/1/15 18:12,QPSK,389.993,0,·ñ,·ñ,,,NA,,NA
2522,20575.79883,255.121,04N2K1,2016/1/15 18:12,8PSK,152.458,0,·ñ,·ñ,,,NA,,NA
2523,20576.60547,259.849,04N2K1,2016/1/20 22:35,8PSK,106.022,0,·ñ,·ñ,,,NA,,NA
2524,20575,259.93,04N2K1,2016/1/12 6:51,8PSK,380.123,0,·ñ,·ñ,,,NA,,NA
2525,20567.40234,260.075,04N2K1,2016/1/12 6:53,QPSK,98.001,0,·ñ,·ñ,,,NA,,NA
2526,11733.15845,1108.612,04N2K1,2016/2/1 20:58,SQPSK£¨OQPSK£©,1152.561,0,·ñ,·ñ,,,NA,,NA
2527,11936.31787,139.68,04N2K1,2016/1/14 22:55,QPSK,50.369,0,·ñ,·ñ,,,NA,,NA
2528,12111.98242,259.571,04N2K1,2016/1/30 23:09,QPSK,273.069,384000,·ñ,·ñ,,TPCÂë,NA,IBS,NA
2529,19605.50391,34.221,04N2K1,2016/1/7 11:01,QPSK,15.127,0,·ñ,·ñ,,,NA,,NA
2530,11763.2937,273.651,04N2K1,2016/2/2 12:32,8PSK,287.222,0,·ñ,·ñ,,,NA,,NA
2531,11852.4917,213.036,04N2K1,2016/2/2 12:32,QPSK,218.073,320000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
2532,19605.15911,137.619,04N2K1,2016/1/7 11:01,QPSK,48.326,0,·ñ,·ñ,,,NA,,NA
2533,11954.46826,140.924,04N2K1,2016/1/13 20:27,QPSK,110.263,0,·ñ,·ñ,,,NA,,NA
2534,20566.2041,254.932,04N2K1,2016/1/15 2:08,8PSK,212.432,0,·ñ,·ñ,,,NA,,NA
2535,20552.79883,250.356,04N2K1,2016/1/13 7:29,QPSK,222.063,0,·ñ,·ñ,,,NA,,NA
2536,20554.50845,256.256,04N2K1,2016/1/13 7:29,QPSK,127.016,0,·ñ,·ñ,,,NA,,NA
2537,20554.65421,264.798,04N2K1,2016/1/24 22:30,QPSK,143.504,0,·ñ,·ñ,,,NA,,NA
